iter	Passed	Remaining
0	1	142
1	2	125
2	4	129
3	4	116
4	5	113
5	7	109
6	8	107
7	9	105
8	10	103
9	11	101
10	12	101
11	13	100
12	14	99
13	15	97
14	16	95
15	18	94
16	19	93
17	20	91
18	21	90
19	22	89
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	34	75
31	35	75
32	36	73
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	65
39	43	64
40	43	63
41	44	61
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	52	46
53	53	45
54	54	44
55	54	43
56	55	41
57	56	40
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	33
64	61	32
65	61	31
66	62	30
67	62	29
68	63	28
69	64	27
70	65	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
