iter	Passed	Remaining
0	149	149814
1	152	76177
2	155	51716
3	157	39266
4	159	31831
5	162	26861
6	164	23311
7	166	20613
8	169	18698
9	171	17021
10	174	15645
11	176	14508
12	178	13545
13	180	12693
14	184	12094
15	186	11443
16	188	10878
17	190	10373
18	192	9926
19	194	9518
20	196	9151
21	199	8888
22	202	8583
23	204	8320
24	206	8066
25	208	7829
26	211	7605
27	213	7422
28	215	7227
29	218	7051
30	220	6882
31	222	6721
32	224	6580
33	227	6468
34	230	6343
35	232	6222
36	235	6120
37	237	6005
38	239	5907
39	242	5817
40	244	5728
41	247	5643
42	248	5539
43	250	5438
44	252	5355
45	253	5255
46	254	5162
47	256	5087
48	257	4997
49	259	4923
50	261	4859
51	263	4807
52	265	4752
53	267	4680
54	269	4622
55	272	4587
56	273	4520
57	275	4468
58	276	4414
59	278	4367
60	280	4322
61	282	4275
62	284	4228
63	285	4178
64	288	4151
65	290	4105
66	292	4069
67	294	4034
68	296	4000
69	298	3960
70	299	3913
71	301	3886
72	303	3852
73	306	3829
74	308	3806
75	310	3779
76	312	3748
77	313	3709
78	317	3699
79	320	3682
80	322	3656
81	323	3618
82	323	3577
83	325	3553
84	327	3530
85	333	3541
86	334	3513
87	336	3487
88	338	3460
89	340	3438
90	342	3418
91	343	3391
92	345	3371
93	347	3345
94	348	3319
95	350	3300
96	352	3281
97	354	3263
98	357	3253
99	360	3241
100	362	3227
101	365	3216
102	367	3199
103	368	3178
104	370	3162
105	372	3142
106	374	3122
107	376	3113
108	378	3097
109	380	3075
110	381	3056
111	382	3032
112	384	3017
113	386	3000
114	387	2985
115	390	2978
116	392	2961
117	394	2950
118	397	2944
119	399	2926
120	401	2915
121	404	2912
122	406	2895
123	407	2877
124	409	2863
125	410	2848
126	411	2830
127	413	2820
128	416	2810
129	418	2798
130	422	2804
131	424	2791
132	425	2773
133	427	2762
134	428	2747
135	429	2731
136	431	2718
137	436	2725
138	438	2717
139	440	2706
140	442	2692
141	443	2679
142	445	2670
143	447	2657
144	449	2650
145	451	2641
146	453	2630
147	455	2620
148	457	2612
149	459	2603
150	460	2591
151	462	2582
152	464	2573
153	467	2566
154	469	2558
155	471	2548
156	472	2537
157	474	2527
158	476	2519
159	480	2522
160	481	2510
161	483	2502
162	485	2492
163	487	2485
164	489	2477
165	491	2470
166	494	2464
167	495	2454
168	497	2445
169	499	2438
170	501	2431
171	502	2421
172	505	2415
173	507	2410
174	510	2404
175	511	2394
176	513	2386
177	514	2376
178	515	2366
179	517	2357
180	519	2351
181	520	2339
182	522	2331
183	523	2323
184	526	2317
185	528	2311
186	529	2300
187	530	2289
188	531	2279
189	533	2272
190	534	2262
191	536	2257
192	538	2252
193	541	2249
194	544	2245
195	546	2240
196	548	2234
197	550	2231
198	553	2226
199	554	2217
200	556	2210
201	557	2203
202	559	2197
203	561	2191
204	562	2182
205	564	2174
206	566	2171
207	568	2165
208	570	2160
209	573	2157
210	575	2153
211	578	2148
212	580	2146
213	583	2141
214	585	2136
215	587	2131
216	589	2126
217	591	2120
218	593	2115
219	594	2106
220	596	2101
221	598	2096
222	600	2090
223	601	2085
224	603	2079
225	605	2074
226	607	2067
227	608	2060
228	610	2055
229	611	2047
230	613	2042
231	615	2038
232	617	2033
233	619	2029
234	621	2021
235	623	2017
236	625	2014
237	627	2009
238	629	2004
239	631	2000
240	633	1995
241	635	1990
242	637	1985
243	638	1978
244	640	1973
245	642	1968
246	643	1961
247	644	1955
248	645	1947
249	646	1940
250	648	1936
251	651	1932
252	652	1925
253	653	1918
254	655	1916
255	657	1909
256	659	1905
257	660	1899
258	662	1895
259	664	1891
260	665	1884
261	666	1878
262	668	1872
263	671	1870
264	673	1867
265	675	1863
266	677	1861
267	680	1857
268	682	1854
269	683	1848
270	687	1848
271	688	1841
272	689	1837
273	692	1833
274	694	1829
275	695	1824
276	696	1818
277	698	1813
278	699	1808
279	702	1806
280	706	1807
281	708	1804
282	710	1798
283	711	1793
284	713	1789
285	718	1793
286	720	1789
287	721	1784
288	724	1781
289	726	1777
290	728	1773
291	729	1769
292	731	1765
293	733	1762
294	736	1758
295	738	1755
296	740	1751
297	742	1748
298	743	1742
299	745	1738
300	746	1734
301	748	1730
302	750	1727
303	752	1722
304	754	1718
305	757	1717
306	760	1715
307	761	1711
308	764	1708
309	765	1704
310	768	1701
